Commune,Taux d'incidence,Taux de positivité
Échannay (21),0 à 10,5 à 10
Vosne-Romanée (21),250 à 500,30 et plus
Précy-sous-Thil (21),1000 et plus,30 et plus
Saint-Hélier (21),0 à 10,25 à 30
Trouhans (21),20 à 50,1 à 5
Lys (58),0 à 10,0 à 1
Fraignot-et-Vesvrotte (21),1000 et plus,30 et plus
Charmois (90),10 à 20,0 à 1
Teigny (58),0 à 10,0 à 1
Pommard (21),500 à 1000,25 à 30
Roilly (21),50 à 150,1 à 5
La Chaume (21),0 à 10,1 à 5
Arnay-le-Duc (21),150 à 250,10 à 15
Valforêt (21),10 à 20,1 à 5
Cronat (71),1000 et plus,30 et plus
Lods (25),500 à 1000,15 à 20
Saint-Philibert (21),500 à 1000,30 et plus
Froidefontaine (90),150 à 250,15 à 20
Avelanges (21),1000 et plus,30 et plus
Rugny (89),20 à 50,1 à 5
Bissey-la-Pierre (21),0 à 10,0 à 1
Trouhaut (21),0 à 10,0 à 1
Burgy (71),10 à 20,0 à 1
Segrois (21),0 à 10,0 à 1
Torcy-et-Pouligny (21),20 à 50,1 à 5
Bermont (90),250 à 500,10 à 15
Montillot (89),10 à 20,0 à 1
Commarin (21),0 à 10,0 à 1
Montaron (58),500 à 1000,25 à 30
Blancey (21),0 à 10,0 à 1
Hérimoncourt (25),250 à 500,20 à 25
Chamoux (89),0 à 10,0 à 1
Lucy-sur-Cure (89),500 à 1000,30 et plus
Souhey (21),20 à 50,25 à 30
Vulvoz (39),50 à 150,30 et plus
Savigny-en-Terre-Plaine (89),0 à 10,5 à 10
La Grande-Verrière (71),10 à 20,1 à 5
Corancy (58),500 à 1000,30 et plus
Tailly (21),0 à 10,0 à 1
Neuffontaines (58),0 à 10,5 à 10
La Maison-Dieu (58),0 à 10,0 à 1
Saint-Aubin-sur-Loire (71),10 à 20,0 à 1
Domecy-sur-Cure (89),50 à 150,5 à 10
Passy (89),50 à 150,5 à 10
Villiers-Louis (89),250 à 500,25 à 30
Salmaise (21),0 à 10,0 à 1
Glay (25),500 à 1000,30 et plus
Bard-le-Régulier (21),0 à 10,0 à 1
Mimeure (21),0 à 10,0 à 1
Savilly (21),0 à 10,0 à 1
Maconge (21),0 à 10,0 à 1
Fontenay-sous-Fouronnes (89),0 à 10,0 à 1
Plancher-les-Mines (70),500 à 1000,15 à 20
Verrey-sous-Salmaise (21),0 à 10,0 à 1
Chamvres (89),250 à 500,25 à 30
Saint-Aubin (21),0 à 10,30 et plus
Curtil-Saint-Seine (21),0 à 10,0 à 1
Messigny-et-Vantoux (21),250 à 500,5 à 10
Val-Suzon (21),1000 et plus,30 et plus
Cenans (70),150 à 250,10 à 15
Saint-Martin-du-Tertre (89),150 à 250,5 à 10
Monthelon (71),500 à 1000,30 et plus
Nantoux (21),500 à 1000,25 à 30
Échenon (21),500 à 1000,20 à 25
Maussans (70),250 à 500,15 à 20
Bourg-sous-Châtelet (90),0 à 10,0 à 1
Meursanges (21),250 à 500,20 à 25
Léry (21),0 à 10,0 à 1
Sery (89),1000 et plus,30 et plus
Millay (58),150 à 250,30 et plus
Crécey-sur-Tille (21),10 à 20,0 à 1
Bart (25),150 à 250,5 à 10
Lebetain (90),10 à 20,0 à 1
Dasle (25),250 à 500,15 à 20
Marey-lès-Fussey (21),10 à 20,0 à 1
Rix (58),500 à 1000,30 et plus
Ravières (89),250 à 500,15 à 20
Filain (70),500 à 1000,30 et plus
Thoste (21),500 à 1000,30 et plus
Fouvent-Saint-Andoche (70),500 à 1000,25 à 30
Le Fête (21),0 à 10,10 à 15
Saint-Maurice-lès-Couches (71),1000 et plus,15 à 20
Roches-lès-Blamont (25),250 à 500,20 à 25
La Roche-en-Brenil (21),50 à 150,5 à 10
Amage (70),250 à 500,15 à 20
Trucy-sur-Yonne (89),0 à 10,0 à 1
Saint-Prix-lès-Arnay (21),0 à 10,0 à 1
Rémilly (58),0 à 10,0 à 1
Busseaut (21),0 à 10,5 à 10
Montigny-Saint-Barthélemy (21),50 à 150,30 et plus
Percey-le-Grand (70),500 à 1000,15 à 20
Savigny-Poil-Fol (58),0 à 10,0 à 1
Quarré-les-Tombes (89),250 à 500,25 à 30
Saint-Pierre-en-Vaux (21),0 à 10,0 à 1
Ville-Langy (58),20 à 50,1 à 5
Chazilly (21),0 à 10,0 à 1
Saint-Germain-des-Champs (89),0 à 10,1 à 5
Provency (89),10 à 20,1 à 5
Villechétive (89),500 à 1000,20 à 25
Cressy-sur-Somme (71),1000 et plus,20 à 25
Bussières (89),0 à 10,0 à 1
Chitry-les-Mines (58),500 à 1000,10 à 15
Larrey (21),0 à 10,0 à 1
Channay (21),1000 et plus,30 et plus
Champlay (89),250 à 500,20 à 25
Laperrière-sur-Saône (21),250 à 500,30 et plus
Fontaine (90),250 à 500,20 à 25
Nicey (21),0 à 10,20 à 25
Saint-Agnan (58),50 à 150,1 à 5
Chaumont (89),150 à 250,15 à 20
Minot (21),1000 et plus,30 et plus
Francheville (21),0 à 10,5 à 10
Chenay-le-Châtel (71),20 à 50,1 à 5
Saint-Romain (21),250 à 500,30 et plus
Thieffrans (70),250 à 500,10 à 15
Rochefort-sur-Brévon (21),0 à 10,5 à 10
Cussy-les-Forges (89),0 à 10,5 à 10
Rousson (89),150 à 250,10 à 15
Larret (70),250 à 500,25 à 30
Meulson (21),0 à 10,1 à 5
Villeneuve-les-Genêts (89),0 à 10,0 à 1
Villars-et-Villenotte (21),50 à 150,1 à 5
Vertault (21),0 à 10,15 à 20
Jallanges (21),1000 et plus,30 et plus
Lucy-sur-Yonne (89),0 à 10,0 à 1
Véron (89),250 à 500,20 à 25
Amazy (58),0 à 10,0 à 1
Thoisy-le-Désert (21),250 à 500,10 à 15
Oyrières (70),500 à 1000,20 à 25
Santenay (21),1000 et plus,20 à 25
Molphey (21),20 à 50,0 à 1
Sementron (89),10 à 20,0 à 1
Pimelles (89),0 à 10,1 à 5
Bouhey (21),50 à 150,1 à 5
Chevannay (21),0 à 10,1 à 5
