dep,jour,P,cl_age90,pop,taux_incidence_quot,positif_7j,taux_incid_7j
71,2020-08-19,23,0,547824.0,4.198428692426765,85.0,15.51593212418587
71,2020-08-20,8,0,547824.0,1.4603230234527877,83.0,15.150851368322671
71,2020-08-21,10,0,547824.0,1.8254037793159845,84.0,15.333391746254271
71,2020-08-22,5,0,547824.0,0.9127018896579923,88.0,16.063553257980665
71,2020-08-23,6,0,547824.0,1.095242267589591,89.0,16.246093635912263
71,2020-08-24,24,0,547824.0,4.380969070358364,92.0,16.79371476970706
71,2020-08-25,21,0,547824.0,3.833347936563568,97.0,17.70641665936505
71,2020-08-26,14,0,547824.0,2.5555652910423787,88.0,16.063553257980665
71,2020-08-27,26,0,547824.0,4.74604982622156,106.0,19.34928006074944
71,2020-08-28,17,0,547824.0,3.1031864248371743,113.0,20.627062706270628
71,2020-08-29,6,0,547824.0,1.095242267589591,114.0,20.809603084202227
71,2020-08-30,3,0,547824.0,0.5476211337947955,111.0,20.261981950407428
71,2020-08-31,34,0,547824.0,6.206372849674349,121.0,22.087385729723415
71,2020-09-01,37,0,547824.0,6.753993983469144,137.0,25.008031776628993
71,2020-09-02,34,0,547824.0,6.206372849674349,157.0,28.65883933526096
71,2020-09-03,41,0,547824.0,7.484155495195537,172.0,31.396945004234937
71,2020-09-04,53,0,547824.0,9.67464003037472,208.0,37.96839860977248
71,2020-09-05,28,0,547824.0,5.1111305820847575,230.0,41.98428692426765
71,2020-09-06,4,0,547824.0,0.7301615117263939,231.0,42.166827302199245
71,2020-09-07,58,0,547824.0,10.587341920032712,255.0,46.54779637255761
71,2020-09-08,41,0,547824.0,7.484155495195537,259.0,47.277957884284
71,2020-09-09,42,0,547824.0,7.666695873127136,267.0,48.73828090773679
71,2020-09-10,43,0,547824.0,7.849236251058734,269.0,49.10336166359998
71,2020-09-11,77,0,547824.0,14.055609100733081,293.0,53.48433073395835
71,2020-09-12,17,0,547824.0,3.1031864248371743,282.0,51.476386576710766
71,2020-09-13,8,0,547824.0,1.4603230234527877,286.0,52.20654808843717
71,2020-09-14,87,0,547824.0,15.881012880049068,315.0,57.500219048453516
71,2020-09-15,46,0,547824.0,8.39685738485353,320.0,58.412920938111505
71,2020-09-16,63,0,547824.0,11.500043809690704,341.0,62.246268874675074
71,2020-09-17,83,0,547824.0,15.150851368322671,381.0,69.54788399193902
71,2020-09-18,57,0,547824.0,10.404801542101113,361.0,65.89707643330705
71,2020-09-19,13,0,547824.0,2.37302491311078,357.0,65.16691492158066
71,2020-09-20,8,0,547824.0,1.4603230234527877,357.0,65.16691492158066
71,2020-09-21,78,0,547824.0,14.238149478664681,348.0,63.524051520196274
71,2020-09-22,71,0,547824.0,12.960366833143492,373.0,68.08756096848623
71,2020-09-23,55,0,547824.0,10.039720786237917,365.0,66.62723794503344
71,2020-09-24,71,0,547824.0,12.960366833143492,353.0,64.43675340985426
71,2020-09-25,72,0,547824.0,13.14290721107509,368.0,67.17485907882823
