geometry,INSEE_COM,INSEE_DEP,NOM_COM_OK,fin_periode,clage_65,ti_classe,tp_classe,td_classe
"{""type"":""Polygon"",""coordinates"":[[[6.67611,47.433631],[6.673996,47.426737],[6.67306,47.414051],[6.696024,47.404102],[6.705039,47.398451],[6.713463,47.398123],[6.714995,47.404146],[6.725767,47.409786],[6.717896,47.412098],[6.716282,47.415578],[6.71579,47.435745],[6.713919,47.439186],[6.692406,47.436238],[6.681162,47.433183],[6.67611,47.433631]]]}",25618,25,Villars-sous-Écot (25),31/10,65,50 à 150,5 à 10,2000 à 2500
"{""type"":""Polygon"",""coordinates"":[[[4.720244,47.875332],[4.725149,47.882652],[4.7315,47.887698],[4.724162,47.893444],[4.721219,47.902776],[4.722069,47.911543],[4.725609,47.917752],[4.713539,47.923443],[4.715008,47.927965],[4.715066,47.939838],[4.7277,47.947795],[4.722338,47.95043],[4.733958,47.95353],[4.733853,47.959893],[4.724704,47.960281],[4.70824,47.958935],[4.702371,47.952291],[4.702368,47.948686],[4.693776,47.942321],[4.700925,47.929785],[4.702949,47.922167],[4.697564,47.916106],[4.697218,47.911515],[4.68535,47.905265],[4.681346,47.90013],[4.681849,47.892905],[4.675516,47.879384],[4.675986,47.877597],[4.685086,47.880988],[4.694379,47.877133],[4.704028,47.880232],[4.715612,47.8784],[4.720244,47.875332]]]}",21077,21,Bissey-la-Côte (21),31/10,65,0 à 10,0 à 1,2500 et plus
"{""type"":""Polygon"",""coordinates"":[[[4.841809,47.278933],[4.838652,47.284009],[4.831866,47.287375],[4.825701,47.287692],[4.825717,47.284703],[4.812782,47.26989],[4.810939,47.261609],[4.817376,47.25877],[4.822502,47.261957],[4.832896,47.277173],[4.841809,47.278933]]]}",21018,21,Arcey (21),31/10,65,0 à 10,30 et plus,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[4.896589,47.010231],[4.901459,47.009962],[4.905023,47.017733],[4.896371,47.021275],[4.905818,47.027377],[4.895431,47.040911],[4.883143,47.040892],[4.878566,47.03493],[4.859173,47.021903],[4.864253,47.01959],[4.874918,47.019134],[4.896589,47.010231]]]}",21684,21,Vignoles (21),31/10,65,1000 et plus,20 à 25,2500 et plus
"{""type"":""Polygon"",""coordinates"":[[[5.072009,47.424153],[5.048439,47.416821],[5.040654,47.40026],[5.049997,47.400588],[5.055385,47.394425],[5.061951,47.390935],[5.069543,47.385979],[5.076687,47.387687],[5.098667,47.416336],[5.099154,47.417008],[5.075109,47.424669],[5.072009,47.424153]]]}",21462,21,Norges-la-Ville (21),31/10,65,500 à 1000,30 et plus,2000 à 2500
"{""type"":""Polygon"",""coordinates"":[[[3.621382,47.362829],[3.618171,47.366195],[3.617046,47.374736],[3.612569,47.381027],[3.596791,47.379302],[3.586323,47.377083],[3.581812,47.373111],[3.563356,47.370846],[3.554022,47.366781],[3.538315,47.365186],[3.548121,47.355277],[3.543583,47.349916],[3.555428,47.343885],[3.565408,47.343348],[3.578062,47.344322],[3.603613,47.353932],[3.613243,47.36103],[3.621382,47.362829]]]}",58286,58,Tannay (58),31/10,65,0 à 10,15 à 20,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[6.302503,47.491526],[6.296388,47.501327],[6.288006,47.504765],[6.279421,47.513567],[6.268997,47.505636],[6.268615,47.502382],[6.283692,47.492303],[6.288993,47.489904],[6.291869,47.485225],[6.29916,47.483219],[6.302503,47.491526]]]}",70159,70,Cognières (70),31/10,65,150 à 250,20 à 25,1000 à 1500
"{""type"":""Polygon"",""coordinates"":[[[4.421633,47.219984],[4.429516,47.212147],[4.436741,47.216245],[4.443571,47.226642],[4.44572,47.232909],[4.454907,47.243703],[4.446224,47.246815],[4.441582,47.246884],[4.4364,47.241367],[4.421903,47.242206],[4.411527,47.236161],[4.403395,47.237964],[4.402429,47.233646],[4.406292,47.229753],[4.421633,47.219984]]]}",21068,21,Beurey-Bauguay (21),31/10,65,0 à 10,10 à 15,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[4.731021,47.323744],[4.742745,47.320044],[4.755496,47.319084],[4.762272,47.320678],[4.767874,47.325174],[4.774257,47.331258],[4.767407,47.342714],[4.766901,47.345848],[4.75622,47.34582],[4.750623,47.343488],[4.743403,47.341458],[4.745009,47.339945],[4.736428,47.331569],[4.731021,47.323744]]]}",21592,21,Savigny-sous-Mâlain (21),31/10,65,0 à 10,1 à 5,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[6.835898,47.599161],[6.840208,47.602878],[6.838752,47.607405],[6.827639,47.609859],[6.81546,47.616617],[6.815408,47.608816],[6.813183,47.605421],[6.800822,47.600199],[6.804084,47.598204],[6.814242,47.600762],[6.8323,47.59993],[6.834115,47.598553],[6.835898,47.599161]]]}",90004,90,Argiésans (90),31/10,65,1000 et plus,30 et plus,2500 et plus
