geometry,INSEE_COM,INSEE_DEP,INSEE_REG,CODE_EPCI,POPULATION,NOM_COM
"{""type"":""Polygon"",""coordinates"":[[[4.10679,47.376501],[4.113181,47.39828],[4.083783,47.419811],[4.065197,47.407263],[4.088452,47.396622],[4.076128,47.382912],[4.087616,47.372757],[4.10679,47.376501]]]}",21538,21,27,242101442,131,Saint-Andeux
"{""type"":""Polygon"",""coordinates"":[[[6.957684,47.689094],[6.954877,47.693078],[6.934286,47.692964],[6.938664,47.66679],[6.94085,47.666896],[6.972168,47.669818],[6.973705,47.673691],[6.957684,47.689094]]]}",90067,90,27,200069052,390,Menoncourt
"{""type"":""Polygon"",""coordinates"":[[[3.294104,47.341079],[3.30866,47.364809],[3.31408,47.375244],[3.298232,47.388645],[3.257019,47.384008],[3.257414,47.376024],[3.24931,47.364254],[3.294104,47.341079]]]}",58163,58,27,200067429,181,Menou
"{""type"":""Polygon"",""coordinates"":[[[6.113239,48.008568],[6.113116,48.00022],[6.110311,47.989321],[6.121996,47.958706],[6.125583,47.956663],[6.128781,47.956116],[6.144593,47.961118],[6.131044,47.975177],[6.124644,48.00765],[6.113239,48.008568]]]}",70419,70,27,200041721,108,Pont-du-Bois
"{""type"":""Polygon"",""coordinates"":[[[7.026517,47.511692],[7.052225,47.524247],[7.039589,47.546257],[7.027949,47.541802],[7.019629,47.520087],[7.026517,47.511692]]]}",90043,90,27,249000241,574,Faverois
"{""type"":""Polygon"",""coordinates"":[[[3.986048,46.58122],[3.969521,46.577928],[3.960954,46.554999],[3.975341,46.547771],[3.980393,46.518974],[3.990456,46.51511],[4.013203,46.507142],[4.039047,46.50701],[4.065692,46.516237],[4.071107,46.527368],[4.071585,46.541567],[4.056734,46.564572],[4.002245,46.573801],[3.986048,46.58122]]]}",71370,71,27,200070316,642,Rigny-sur-Arroux
"{""type"":""Polygon"",""coordinates"":[[[5.439124,47.020257],[5.461663,47.028961],[5.460334,47.044015],[5.435081,47.051956],[5.430643,47.049291],[5.42852,47.028529],[5.439124,47.020257]]]}",39252,39,27,200010650,692,Gevry
"{""type"":""Polygon"",""coordinates"":[[[3.296349,46.967135],[3.302811,46.95247],[3.282745,46.942702],[3.286223,46.92875],[3.310478,46.922348],[3.341744,46.927146],[3.371042,46.950685],[3.35918,46.974269],[3.35989,46.986876],[3.338731,46.99623],[3.315399,46.986983],[3.301791,46.988912],[3.296349,46.967135]]]}",58112,58,27,200067700,655,La Fermeté
"{""type"":""Polygon"",""coordinates"":[[[5.857776,47.2825],[5.866258,47.287333],[5.845159,47.301086],[5.831316,47.298772],[5.814679,47.294942],[5.8364,47.288033],[5.857776,47.2825]]]}",25150,25,27,200041887,292,Chevigney-sur-l'Ognon
"{""type"":""Polygon"",""coordinates"":[[[4.80854,47.548795],[4.801617,47.543804],[4.78768,47.534973],[4.815447,47.513693],[4.8036,47.496641],[4.848749,47.49797],[4.878461,47.482361],[4.887433,47.485212],[4.872204,47.501636],[4.860221,47.540045],[4.847305,47.545997],[4.80854,47.548795]]]}",21338,21,27,200039063,158,Lamargelle
"{""type"":""Polygon"",""coordinates"":[[[4.10757,46.408143],[4.137441,46.421812],[4.135474,46.424106],[4.140501,46.442937],[4.143505,46.471736],[4.120686,46.47675],[4.086093,46.469458],[4.103551,46.459884],[4.082009,46.434105],[4.092504,46.410455],[4.10757,46.408143]]]}",71342,71,27,200071884,9189,Paray-le-Monial
"{""type"":""Polygon"",""coordinates"":[[[5.562606,47.324679],[5.54324,47.340405],[5.535708,47.355565],[5.529628,47.362265],[5.489907,47.354497],[5.493473,47.333162],[5.473732,47.324138],[5.472395,47.31678],[5.509418,47.308244],[5.518355,47.304071],[5.522398,47.305916],[5.547123,47.30965],[5.564263,47.322641],[5.562606,47.324679]]]}",70101,70,27,200036549,486,Broye-Aubigney-Montseugny
"{""type"":""Polygon"",""coordinates"":[[[4.234449,46.355482],[4.223022,46.362332],[4.198135,46.348218],[4.212926,46.344105],[4.226881,46.3416],[4.234449,46.355482]]]}",71361,71,27,200071884,64,Prizy
"{""type"":""Polygon"",""coordinates"":[[[5.362184,46.577444],[5.367873,46.56694],[5.384423,46.550434],[5.415728,46.550621],[5.409361,46.563787],[5.375527,46.580157],[5.362184,46.577444]]]}",39025,39,27,200072056,277,Augea
"{""type"":""Polygon"",""coordinates"":[[[3.427004,48.120513],[3.417093,48.10337],[3.391587,48.096002],[3.391141,48.081351],[3.368461,48.083814],[3.361788,48.053215],[3.374107,48.03827],[3.392205,48.034014],[3.405819,48.052275],[3.459033,48.049214],[3.469911,48.059227],[3.454347,48.077126],[3.483311,48.088858],[3.479122,48.100704],[3.455277,48.109235],[3.427004,48.120513]]]}",89142,89,27,248900334,914,Dixmont
"{""type"":""Polygon"",""coordinates"":[[[5.928686,47.092909],[5.954129,47.086089],[5.956703,47.085737],[5.945991,47.098191],[5.951758,47.115591],[5.938422,47.116077],[5.928569,47.097992],[5.928686,47.092909]]]}",25443,25,27,200068070,72,Palantine
"{""type"":""Polygon"",""coordinates"":[[[5.504013,47.153439],[5.505839,47.13845],[5.529275,47.133829],[5.530756,47.162868],[5.527703,47.173998],[5.520106,47.150575],[5.504013,47.153439]]]}",39014,39,27,200010650,218,Archelange
"{""type"":""Polygon"",""coordinates"":[[[5.451411,47.287874],[5.430286,47.297333],[5.42596,47.310968],[5.402577,47.314646],[5.401088,47.327079],[5.379699,47.320303],[5.380581,47.311183],[5.386076,47.302427],[5.411447,47.293137],[5.409785,47.282546],[5.424002,47.27572],[5.451411,47.287874]]]}",21496,21,27,200070902,1308,Pontailler-sur-Saône
"{""type"":""Polygon"",""coordinates"":[[[3.829675,47.484716],[3.808365,47.505196],[3.790926,47.49461],[3.789737,47.489868],[3.810302,47.475592],[3.818222,47.47487],[3.829675,47.484716]]]}",89146,89,27,200039758,88,Domecy-sur-le-Vault
"{""type"":""Polygon"",""coordinates"":[[[3.063362,46.88995],[3.102936,46.882426],[3.123034,46.893741],[3.122655,46.912812],[3.110194,46.919559],[3.084146,46.922846],[3.064578,46.935789],[3.050302,46.906132],[3.061145,46.897383],[3.063362,46.88995]]]}",58225,58,27,245804406,376,Saincaize-Meauce
"{""type"":""Polygon"",""coordinates"":[[[4.619867,47.171284],[4.616469,47.162823],[4.660161,47.1492],[4.662246,47.162423],[4.663809,47.1742],[4.659557,47.176604],[4.642684,47.167651],[4.619867,47.171284]]]}",21155,21,27,200071207,44,Chaudenay-la-Ville
"{""type"":""Polygon"",""coordinates"":[[[6.15204,47.410159],[6.154107,47.413142],[6.170487,47.412239],[6.186172,47.414378],[6.194048,47.417828],[6.172581,47.433416],[6.176376,47.445486],[6.175461,47.458351],[6.154721,47.459991],[6.137059,47.448167],[6.147523,47.440659],[6.136378,47.419375],[6.15204,47.410159]]]}",70059,70,27,200041853,458,Beaumotte-Aubertans
"{""type"":""Polygon"",""coordinates"":[[[5.755068,46.356328],[5.730043,46.373199],[5.706439,46.356952],[5.71481,46.345447],[5.720146,46.339589],[5.75439,46.343471],[5.755068,46.356328]]]}",39547,39,27,200090579,693,Vaux-lès-Saint-Claude
"{""type"":""Polygon"",""coordinates"":[[[3.779578,47.296486],[3.745175,47.303654],[3.71632,47.279176],[3.725814,47.277554],[3.760476,47.282962],[3.779578,47.296486]]]}",58153,58,27,200067692,74,Magny-Lormes
"{""type"":""Polygon"",""coordinates"":[[[3.876351,46.732271],[3.889191,46.728228],[3.927876,46.739788],[3.93158,46.751843],[3.957195,46.756142],[3.96329,46.76627],[3.939319,46.785121],[3.895217,46.77513],[3.875259,46.781974],[3.876245,46.764744],[3.885328,46.748362],[3.876351,46.732271]]]}",58287,58,27,200067882,198,Tazilly
"{""type"":""Polygon"",""coordinates"":[[[5.110383,46.722458],[5.105943,46.749532],[5.082043,46.755786],[5.038411,46.737318],[5.080157,46.738966],[5.108426,46.722434],[5.110383,46.722458]]]}",71256,71,27,200071538,542,Lessard-en-Bresse
"{""type"":""Polygon"",""coordinates"":[[[3.106567,47.018959],[3.074775,47.029995],[3.073677,47.012369],[3.110081,47.008029],[3.106567,47.018959]]]}",58117,58,27,245804406,4229,Fourchambault
"{""type"":""Polygon"",""coordinates"":[[[6.241752,47.714958],[6.233401,47.691025],[6.214097,47.685204],[6.226889,47.6796],[6.247964,47.689716],[6.266951,47.710399],[6.249101,47.722213],[6.237164,47.741139],[6.226115,47.749053],[6.220529,47.749044],[6.241752,47.714958]]]}",70558,70,27,200041879,139,La Villeneuve-Bellenoye-et-la-Maize
"{""type"":""Polygon"",""coordinates"":[[[4.83602,46.594833],[4.830957,46.590232],[4.850758,46.575171],[4.874957,46.570214],[4.879799,46.573189],[4.861716,46.590037],[4.83602,46.594833]]]}",71572,71,27,247103765,231,Vers
