dep,sexe,jour,Personnes hospitalisées,Personnes en réanimation,Personnes décédées (cumul),dep_ok
39,0,2020-06-08,20,0,60,39
58,0,2020-06-08,11,1,27,58
70,0,2020-06-08,32,0,77,70
71,0,2020-06-08,99,7,198,71
89,0,2020-06-08,55,5,89,89
90,0,2020-06-08,42,4,177,90
21,0,2020-06-09,29,1,248,21
25,0,2020-06-09,27,4,149,25
39,0,2020-06-09,20,0,60,39
58,0,2020-06-09,10,1,27,58
70,0,2020-06-09,25,0,77,70
71,0,2020-06-09,94,7,198,71
89,0,2020-06-09,53,5,89,89
90,0,2020-06-09,41,4,179,90
21,0,2020-06-10,30,1,248,21
25,0,2020-06-10,26,4,149,25
39,0,2020-06-10,19,0,60,39
58,0,2020-06-10,10,1,27,58
70,0,2020-06-10,19,0,77,70
71,0,2020-06-10,80,7,199,71
89,0,2020-06-10,50,5,90,89
90,0,2020-06-10,37,4,181,90
21,0,2020-06-11,31,2,248,21
25,0,2020-06-11,25,4,149,25
39,0,2020-06-11,20,1,60,39
58,0,2020-06-11,10,1,27,58
70,0,2020-06-11,19,0,77,70
71,0,2020-06-11,75,5,199,71
89,0,2020-06-11,51,5,90,89
90,0,2020-06-11,37,4,181,90
21,0,2020-06-12,31,2,248,21
25,0,2020-06-12,25,4,149,25
39,0,2020-06-12,20,1,60,39
58,0,2020-06-12,10,1,27,58
70,0,2020-06-12,19,0,77,70
71,0,2020-06-12,61,5,199,71
89,0,2020-06-12,33,4,89,89
90,0,2020-06-12,35,4,181,90
21,0,2020-06-13,28,2,248,21
25,0,2020-06-13,24,4,149,25
39,0,2020-06-13,19,1,60,39
58,0,2020-06-13,10,1,27,58
70,0,2020-06-13,19,0,77,70
71,0,2020-06-13,59,5,199,71
89,0,2020-06-13,34,4,89,89
90,0,2020-06-13,33,3,183,90
21,0,2020-06-14,28,2,248,21
25,0,2020-06-14,24,4,149,25
39,0,2020-06-14,19,1,60,39
58,0,2020-06-14,10,1,27,58
70,0,2020-06-14,19,0,77,70
71,0,2020-06-14,59,5,199,71
89,0,2020-06-14,29,4,89,89
90,0,2020-06-14,33,3,183,90
21,0,2020-06-15,28,2,248,21
25,0,2020-06-15,24,4,149,25
39,0,2020-06-15,19,0,60,39
58,0,2020-06-15,10,1,27,58
70,0,2020-06-15,19,0,77,70
71,0,2020-06-15,60,5,199,71
89,0,2020-06-15,29,4,89,89
90,0,2020-06-15,34,3,183,90
21,0,2020-06-16,29,2,248,21
25,0,2020-06-16,23,4,149,25
39,0,2020-06-16,18,0,60,39
58,0,2020-06-16,10,1,27,58
70,0,2020-06-16,19,0,77,70
71,0,2020-06-16,54,5,199,71
