jour,Département,Hospitalisations,Réanimations
2020-06-13,Jura,19,1
2020-06-13,Nièvre,10,1
2020-06-13,Haute-Saône,19,0
2020-06-13,Saône-et-Loire,59,5
2020-06-13,Yonne,34,4
2020-06-13,Territoire de Belfort,33,3
2020-06-14,Côte-d'Or,28,2
2020-06-14,Doubs,24,4
2020-06-14,Jura,19,1
2020-06-14,Nièvre,10,1
2020-06-14,Haute-Saône,19,0
2020-06-14,Saône-et-Loire,59,5
2020-06-14,Yonne,29,4
2020-06-14,Territoire de Belfort,33,3
2020-06-15,Côte-d'Or,28,2
2020-06-15,Doubs,24,4
2020-06-15,Jura,19,0
2020-06-15,Nièvre,10,1
2020-06-15,Haute-Saône,19,0
2020-06-15,Saône-et-Loire,60,5
2020-06-15,Yonne,29,4
2020-06-15,Territoire de Belfort,34,3
2020-06-16,Côte-d'Or,29,2
2020-06-16,Doubs,23,4
2020-06-16,Jura,18,0
2020-06-16,Nièvre,10,1
2020-06-16,Haute-Saône,19,0
2020-06-16,Saône-et-Loire,54,5
2020-06-16,Yonne,26,3
2020-06-16,Territoire de Belfort,32,3
2020-06-17,Côte-d'Or,27,2
2020-06-17,Doubs,22,3
2020-06-17,Jura,12,0
2020-06-17,Nièvre,10,1
2020-06-17,Haute-Saône,19,0
2020-06-17,Saône-et-Loire,53,5
2020-06-17,Yonne,25,3
2020-06-17,Territoire de Belfort,29,1
2020-06-18,Côte-d'Or,24,2
2020-06-18,Doubs,22,3
2020-06-18,Jura,13,0
2020-06-18,Nièvre,10,1
2020-06-18,Haute-Saône,19,0
2020-06-18,Saône-et-Loire,53,5
2020-06-18,Yonne,24,3
2020-06-18,Territoire de Belfort,27,1
2020-06-19,Côte-d'Or,24,2
2020-06-19,Doubs,22,3
2020-06-19,Jura,12,0
2020-06-19,Nièvre,10,1
2020-06-19,Haute-Saône,19,0
2020-06-19,Saône-et-Loire,38,4
2020-06-19,Yonne,21,1
2020-06-19,Territoire de Belfort,27,1
2020-06-20,Côte-d'Or,24,2
2020-06-20,Doubs,22,3
2020-06-20,Jura,12,0
2020-06-20,Nièvre,11,1
2020-06-20,Haute-Saône,19,0
2020-06-20,Saône-et-Loire,38,4
2020-06-20,Yonne,20,1
2020-06-20,Territoire de Belfort,27,1
2020-06-21,Côte-d'Or,24,2
2020-06-21,Doubs,22,3
2020-06-21,Jura,12,0
2020-06-21,Nièvre,11,1
2020-06-21,Haute-Saône,19,0
2020-06-21,Saône-et-Loire,38,4
2020-06-21,Yonne,20,1
