jour,Département,Nouvelles hospitalisations en 24h,Nouvelles entrées en réanimation en 24h,Nouveaux décès à l'hôpital en 24h,Nouveaux retours à domicile en 24h
2020-04-30,Nièvre,1,0,0,0
2020-04-30,Haute-Saône,2,0,0,1
2020-04-30,Saône-et-Loire,28,2,1,24
2020-04-30,Yonne,3,1,0,2
2020-04-30,Territoire de Belfort,5,0,0,7
2020-05-01,Côte-d'Or,10,0,0,22
2020-05-01,Doubs,0,1,0,5
2020-05-01,Jura,0,0,0,2
2020-05-01,Nièvre,0,0,0,1
2020-05-01,Haute-Saône,0,0,0,1
2020-05-01,Saône-et-Loire,5,0,0,12
2020-05-01,Yonne,4,0,3,8
2020-05-01,Territoire de Belfort,5,0,2,5
2020-05-02,Côte-d'Or,4,1,0,0
2020-05-02,Doubs,8,3,0,5
2020-05-02,Jura,0,0,0,0
2020-05-02,Nièvre,0,0,1,0
2020-05-02,Haute-Saône,0,0,1,0
2020-05-02,Saône-et-Loire,1,0,1,0
2020-05-02,Yonne,3,0,2,3
2020-05-02,Territoire de Belfort,1,0,2,1
2020-05-03,Côte-d'Or,0,0,2,0
2020-05-03,Doubs,0,0,0,1
2020-05-03,Jura,0,0,0,0
2020-05-03,Nièvre,0,0,0,0
2020-05-03,Haute-Saône,0,0,1,0
2020-05-03,Saône-et-Loire,6,3,3,3
2020-05-03,Yonne,6,0,0,0
2020-05-03,Territoire de Belfort,1,0,0,0
2020-05-04,Côte-d'Or,3,0,0,3
2020-05-04,Doubs,4,1,3,2
2020-05-04,Jura,6,1,2,4
2020-05-04,Nièvre,0,0,0,0
2020-05-04,Haute-Saône,6,0,2,6
2020-05-04,Saône-et-Loire,4,0,3,7
2020-05-04,Yonne,8,0,1,0
2020-05-04,Territoire de Belfort,0,0,2,0
2020-05-05,Côte-d'Or,6,5,1,7
2020-05-05,Doubs,28,1,7,32
2020-05-05,Jura,2,1,0,10
2020-05-05,Nièvre,0,0,0,1
2020-05-05,Haute-Saône,2,1,0,1
2020-05-05,Saône-et-Loire,12,0,0,11
2020-05-05,Yonne,2,0,2,4
2020-05-05,Territoire de Belfort,17,0,5,6
